,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1130488,No Comment and No Reason Code,286.0,2021-01-06 15:20:31.087,2021-01-06 16:22:09.077,3697.905,WLM02 ST130,,,2021,
1130645,No Comment and No Reason Code,286.0,2021-01-06 16:25:21.040,2021-01-06 16:41:13.010,951.701,WLM02 ST130,,,2021,
1130700,No Comment and No Reason Code,286.0,2021-01-06 16:45:07.023,2021-01-06 16:55:41.090,634.677,WLM02 ST130,,,2021,
1130730,No Comment and No Reason Code,286.0,2021-01-06 16:59:47.010,2021-01-06 17:05:00.000,312.895,WLM02 ST130,,,2021,
1130888,lunch: overage,286.0,2021-01-06 17:35:00.000,2021-01-06 17:39:57.043,297.433,WLM02 ST130,218.0,lunch: overage,2021,
1130905,No Comment and No Reason Code,286.0,2021-01-06 17:39:57.043,2021-01-06 19:45:00.000,7502.567,WLM02 ST130,,,2021,
1131424,No Comment and No Reason Code,286.0,2021-01-06 19:46:18.093,2021-01-06 19:49:00.000,161.068,WLM02 ST130,,,2021,
1131549,No Comment and No Reason Code,286.0,2021-01-06 19:49:00.000,2021-01-06 19:50:00.000,60.0,WLM02 ST130,,,2021,
1131786, shift start: overage ,286.0,2021-01-06 20:00:00.000,2021-01-06 20:45:00.000,2700.0,WLM02 ST130,216.0, shift start: overage ,2021,
1133791,No Comment and No Reason Code,286.0,2021-01-07 11:40:28.083,2021-01-07 11:45:00.000,271.154,WLM02 ST130,,,2021,
1134039, shift start: overage ,286.0,2021-01-07 12:00:00.000,2021-01-07 12:00:37.010,37.116,WLM02 ST130,216.0, shift start: overage ,2021,
1134044,No Comment and No Reason Code,286.0,2021-01-07 12:00:37.010,2021-01-07 12:10:39.027,602.165,WLM02 ST130,,,2021,
1134131,production - lines,286.0,2021-01-07 12:10:39.027,2021-01-07 12:14:59.017,259.897,WLM02 ST130,83.0,production - lines,2021,
1134139,No Comment and No Reason Code,286.0,2021-01-07 12:14:59.017,2021-01-07 14:20:00.000,7500.822,WLM02 ST130,,,2021,
